id_obs,id_sub,id_ses,participantcode,participantlabel,payoff,sessioncode,sessionlabel,treatment_past,treatment_future,matching_group,time_total,time_questions,time_waiting,role,round,earnings,group_id,state,message,action,bias,noise,time_decision,time_results,risk,risk_payoff,crt,time_crt,crt_payoff,trust_sender,trust_receiver,age,study,gender
1,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,1,111,2,2,2,2,Low,4,59,12,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
2,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,2,5,2,5,2,2,Low,-3,25,5,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
3,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,3,111,4,1,1,1,Low,4,21,31,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
4,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,4,105,3,3,3,3,Low,-2,17,15,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
5,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,5,106,2,1,1,1,Low,-1,11,8,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
6,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,6,106,4,4,4,4,Low,-1,21,10,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
7,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,7,111,2,4,4,4,Low,4,8,17,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
8,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,8,107,4,4,4,4,Low,0,10,11,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
9,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,9,107,1,4,4,4,Low,0,5,14,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
10,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,10,106,4,2,2,2,Low,-1,10,8,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
11,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,11,108,3,1,1,1,Low,1,14,44,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
12,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,12,106,3,4,4,4,Low,-1,14,8,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
13,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,13,103,1,1,1,1,Low,-4,8,13,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
14,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,14,108,4,4,4,4,Low,1,16,9,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
15,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,15,109,2,4,4,4,Low,2,10,8,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
16,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,16,110,1,5,5,5,Low,3,11,19,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
17,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,17,107,4,1,1,1,Low,0,8,24,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
18,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,18,107,1,4,4,4,Low,0,5,16,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
19,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,19,104,4,3,3,3,Low,-3,7,5,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
20,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,20,104,4,2,2,2,Low,-3,7,16,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
21,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,21,110,2,5,5,5,Low,3,16,6,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
22,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,22,103,4,1,1,1,Low,-4,17,11,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
23,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,23,107,3,3,3,3,Low,0,8,6,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
24,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,24,111,4,1,1,1,Low,4,20,5,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
25,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,25,110,2,1,1,1,Low,3,7,27,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
26,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,26,104,1,1,1,1,Low,-3,3,0,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
27,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,27,107,2,5,5,5,Low,0,12,4,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
28,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,28,109,1,1,1,1,Low,2,6,14,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
29,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,29,106,3,4,4,4,Low,-1,15,14,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
30,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,30,105,1,2,2,2,Low,-2,4,6,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
31,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,31,94,1,4,4,4,Medium,4,11,27,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
32,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,32,111,2,1,1,1,Low,4,6,2,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
33,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,33,107,3,5,5,5,Low,0,8,17,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
34,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,34,106,3,2,2,2,Low,-1,6,5,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
35,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,35,90,3,4,5,4,Medium,0,18,37,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
36,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,36,106,2,4,4,4,Low,-1,9,1,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
37,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,37,110,1,5,5,5,Low,3,5,12,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
38,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,38,109,1,2,2,2,Low,2,4,15,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
39,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,39,113,4,3,4,4,Medium,3,19,27,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
40,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,40,108,4,2,2,2,Low,1,20,13,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
41,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,41,107,2,2,2,2,Low,0,14,22,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
42,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,42,89,3,4,5,4,Medium,-1,25,4,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
43,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,43,86,3,3,4,3,Medium,-4,13,11,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
44,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,44,110,3,1,1,1,Low,3,5,10,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
45,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,45,104,4,4,4,4,Low,-3,5,82,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
46,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,46,53,1,5,5,4,Medium,-4,13,25,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
47,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,47,111,1,1,2,2,Medium,1,5,17,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
48,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,48,107,1,2,2,2,Low,0,13,3,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
49,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,49,107,2,3,3,3,Low,0,27,9,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
50,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,50,106,1,1,1,1,Low,-1,9,7,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
51,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,51,108,1,3,3,3,Low,1,11,6,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
52,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,52,93,2,5,5,5,Medium,3,7,58,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
53,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,53,107,4,4,4,4,Low,0,9,16,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
54,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,54,110,3,5,5,5,Low,3,11,3,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
55,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,55,110,4,2,3,3,Medium,0,4,42,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
56,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,56,104,4,3,3,3,Low,-3,8,9,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
57,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,57,106,2,3,3,3,Low,-1,4,5,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
58,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,58,93,4,5,5,5,Medium,3,12,11,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
59,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,59,111,4,4,4,4,Low,4,4,25,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
60,1,1,hx73ylp3,PC06,32.22,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,749,35,Sender,60,104,2,5,5,5,Low,-3,3,4,3,100,3,5,150,Agree,Neither agree nor disagree,24,Economics,Female
61,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,1,114,1,2,2,2,Low,4,6,12,5,300,3,7,150,Agree,Agree,22,Economics,Male
62,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,2,107,3,5,5,5,Low,-3,5,4,5,300,3,7,150,Agree,Agree,22,Economics,Male
63,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,3,114,2,1,1,1,Low,4,5,3,5,300,3,7,150,Agree,Agree,22,Economics,Male
64,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,4,108,2,3,3,3,Low,-2,6,2,5,300,3,7,150,Agree,Agree,22,Economics,Male
65,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,5,109,3,1,1,1,Low,-1,3,18,5,300,3,7,150,Agree,Agree,22,Economics,Male
66,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,6,109,1,4,4,4,Low,-1,3,5,5,300,3,7,150,Agree,Agree,22,Economics,Male
67,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,7,114,2,4,4,4,Low,4,3,4,5,300,3,7,150,Agree,Agree,22,Economics,Male
68,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,8,110,2,4,4,4,Low,0,10,10,5,300,3,7,150,Agree,Agree,22,Economics,Male
69,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,9,110,2,4,4,4,Low,0,3,12,5,300,3,7,150,Agree,Agree,22,Economics,Male
70,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,10,109,2,2,2,2,Low,-1,3,3,5,300,3,7,150,Agree,Agree,22,Economics,Male
71,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,11,111,2,1,1,1,Low,1,4,10,5,300,3,7,150,Agree,Agree,22,Economics,Male
72,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,12,109,1,4,4,4,Low,-1,3,26,5,300,3,7,150,Agree,Agree,22,Economics,Male
73,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,13,106,4,1,1,1,Low,-4,17,7,5,300,3,7,150,Agree,Agree,22,Economics,Male
74,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,14,111,4,4,4,4,Low,1,4,5,5,300,3,7,150,Agree,Agree,22,Economics,Male
75,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,15,112,2,4,4,4,Low,2,3,38,5,300,3,7,150,Agree,Agree,22,Economics,Male
76,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,16,113,2,5,5,5,Low,3,3,11,5,300,3,7,150,Agree,Agree,22,Economics,Male
77,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,17,110,3,1,1,1,Low,0,4,14,5,300,3,7,150,Agree,Agree,22,Economics,Male
78,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,18,110,3,4,4,4,Low,0,2,29,5,300,3,7,150,Agree,Agree,22,Economics,Male
79,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,19,107,1,3,3,3,Low,-3,3,15,5,300,3,7,150,Agree,Agree,22,Economics,Male
80,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,20,107,4,2,2,2,Low,-3,3,3,5,300,3,7,150,Agree,Agree,22,Economics,Male
81,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,21,113,4,5,5,5,Low,3,3,21,5,300,3,7,150,Agree,Agree,22,Economics,Male
82,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,22,106,2,1,1,1,Low,-4,4,3,5,300,3,7,150,Agree,Agree,22,Economics,Male
83,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,23,110,1,3,3,3,Low,0,2,111,5,300,3,7,150,Agree,Agree,22,Economics,Male
84,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,24,114,2,1,1,1,Low,4,4,37,5,300,3,7,150,Agree,Agree,22,Economics,Male
85,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,25,113,3,1,1,1,Low,3,5,5,5,300,3,7,150,Agree,Agree,22,Economics,Male
86,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,26,107,2,1,1,1,Low,-3,3,23,5,300,3,7,150,Agree,Agree,22,Economics,Male
87,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,27,110,2,5,5,5,Low,0,3,1,5,300,3,7,150,Agree,Agree,22,Economics,Male
88,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,28,112,1,1,1,1,Low,2,3,3,5,300,3,7,150,Agree,Agree,22,Economics,Male
89,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,29,109,1,4,4,4,Low,-1,3,35,5,300,3,7,150,Agree,Agree,22,Economics,Male
90,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,30,108,4,2,2,2,Low,-2,3,21,5,300,3,7,150,Agree,Agree,22,Economics,Male
91,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,31,114,4,4,4,4,Medium,4,7,13,5,300,3,7,150,Agree,Agree,22,Economics,Male
92,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,32,114,4,1,1,1,Low,4,3,14,5,300,3,7,150,Agree,Agree,22,Economics,Male
93,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,33,110,4,5,5,5,Low,0,3,16,5,300,3,7,150,Agree,Agree,22,Economics,Male
94,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,34,109,3,2,2,2,Low,-1,3,16,5,300,3,7,150,Agree,Agree,22,Economics,Male
95,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,35,110,1,4,4,4,Medium,0,5,2,5,300,3,7,150,Agree,Agree,22,Economics,Male
96,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,36,109,2,4,4,4,Low,-1,2,9,5,300,3,7,150,Agree,Agree,22,Economics,Male
97,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,37,113,2,5,5,5,Low,3,2,19,5,300,3,7,150,Agree,Agree,22,Economics,Male
98,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,38,112,1,2,2,2,Low,2,3,9,5,300,3,7,150,Agree,Agree,22,Economics,Male
99,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,39,113,2,3,3,3,Medium,3,3,3,5,300,3,7,150,Agree,Agree,22,Economics,Male
100,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,40,111,2,2,2,2,Low,1,3,12,5,300,3,7,150,Agree,Agree,22,Economics,Male
101,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,41,110,3,2,2,2,Low,0,2,14,5,300,3,7,150,Agree,Agree,22,Economics,Male
102,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,42,109,2,4,4,4,Medium,-1,3,15,5,300,3,7,150,Agree,Agree,22,Economics,Male
103,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,43,106,1,3,3,3,Medium,-4,3,11,5,300,3,7,150,Agree,Agree,22,Economics,Male
104,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,44,113,2,1,1,1,Low,3,4,14,5,300,3,7,150,Agree,Agree,22,Economics,Male
105,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,45,107,3,4,4,4,Low,-3,2,7,5,300,3,7,150,Agree,Agree,22,Economics,Male
106,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,46,106,4,5,5,5,Medium,-4,6,10,5,300,3,7,150,Agree,Agree,22,Economics,Male
107,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,47,111,3,1,1,1,Medium,1,4,25,5,300,3,7,150,Agree,Agree,22,Economics,Male
108,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,48,110,3,2,2,2,Low,0,3,66,5,300,3,7,150,Agree,Agree,22,Economics,Male
109,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,49,110,1,3,3,3,Low,0,5,52,5,300,3,7,150,Agree,Agree,22,Economics,Male
110,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,50,109,3,1,1,1,Low,-1,15,14,5,300,3,7,150,Agree,Agree,22,Economics,Male
111,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,51,111,2,3,3,3,Low,1,3,3,5,300,3,7,150,Agree,Agree,22,Economics,Male
112,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,52,113,1,5,5,5,Medium,3,4,9,5,300,3,7,150,Agree,Agree,22,Economics,Male
113,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,53,110,1,4,4,4,Low,0,2,14,5,300,3,7,150,Agree,Agree,22,Economics,Male
114,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,54,113,4,5,5,5,Low,3,2,20,5,300,3,7,150,Agree,Agree,22,Economics,Male
115,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,55,90,4,2,3,3,Medium,0,2,4,5,300,3,7,150,Agree,Agree,22,Economics,Male
116,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,56,107,3,3,3,3,Low,-3,3,3,5,300,3,7,150,Agree,Agree,22,Economics,Male
117,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,57,109,4,3,3,3,Low,-1,7,6,5,300,3,7,150,Agree,Agree,22,Economics,Male
118,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,58,113,1,5,5,5,Medium,3,4,26,5,300,3,7,150,Agree,Agree,22,Economics,Male
119,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,59,114,4,4,4,4,Low,4,26,17,5,300,3,7,150,Agree,Agree,22,Economics,Male
120,2,2,lti8zxhv,PC02,35.23,nax4qc0j,EX2012-03a,Aligned,Rare,1,76.800003,822,36,Receiver,60,107,1,5,5,5,Low,-3,5,3,5,300,3,7,150,Agree,Agree,22,Economics,Male
